setting,div,grammar,perplexity
12-1,2,111001,26.19
12-1,1,100100,23.23
12-1,1,001110,23.94
12-1,1,110001,26.31
12-1,1,011011,24.08
12-1,1,000111,24.76
12-1,1,101101,23.82
12-1,1,010010,26.09
12-1,1,111000,26.42
12-1,2,100101,23.81
12-1,2,001111,25.16
12-1,2,110000,26.85
12-1,2,011010,24.9
12-1,2,011110,24.97
12-1,2,110100,26.75
12-1,2,001011,25.12
12-1,2,100001,24.08
12-1,1,111100,26.54
12-1,1,010110,26.13
12-1,1,101001,24.08
12-1,1,000011,24.79
12-1,1,111011,25.34
12-1,1,010001,25.04
12-1,1,101110,22.92
12-1,1,000100,23.5
12-1,2,011001,24.5
12-1,2,110011,26.46
12-1,2,001100,24.62
12-1,2,100110,22.66
12-1,2,100010,22.86
12-1,2,001000,24.52
12-1,2,110111,26.6
12-1,2,011101,24.48
12-1,1,000000,23.49
12-1,1,101010,23.1
12-1,1,010101,25.08
12-1,1,111111,25.26
12-1,1,100011,23.05
12-1,1,001001,24.86
12-1,1,110110,26.66
12-1,1,011100,24.41
12-1,2,000001,25.85
12-1,2,101011,24.01
12-1,2,010100,26.41
12-1,2,111110,27.3
12-1,2,111010,27.21
12-1,2,010000,26.36
12-1,2,101111,23.92
12-1,2,000101,25.81
12-1,1,011000,24.37
12-1,1,110010,26.69
12-1,1,001101,24.88
12-1,1,100111,22.75
12-1,0,111000,26.84
12-1,0,010010,25.83
12-1,0,101101,24.11
12-1,0,000111,25.04
12-1,0,000011,25.05
12-1,0,101001,24.31
12-1,0,010110,25.9
12-1,0,111100,26.69
12-1,0,100000,23.53
12-1,0,001010,24.3
12-1,0,110101,26.19
12-1,0,011111,24.16
12-1,0,011011,24.11
12-1,0,110001,26.26
12-1,0,001110,24.3
12-1,0,100100,22.84
12-1,0,011100,24.62
12-1,0,110110,26.66
12-1,0,001001,24.95
12-1,0,100011,23.01
12-1,0,100111,22.71
12-1,0,001101,24.9
12-1,0,110010,26.57
12-1,0,011000,24.54
12-1,0,000100,23.7
12-1,0,101110,23.2
12-1,0,010001,25.3
12-1,0,111011,25.42
12-1,0,111111,25.49
12-1,0,010101,25.37
12-1,0,101010,23.35
12-1,0,000000,23.67
12-2,0,000100,23.47
12-2,0,101110,23.11
12-2,0,010001,24.87
12-2,0,111011,25.22
12-2,0,111111,25.02
12-2,0,010101,24.89
12-2,0,101010,23.21
12-2,0,000000,23.47
12-2,0,011100,24.34
12-2,0,110110,26.21
12-2,0,001001,24.68
12-2,0,100011,22.54
12-2,0,100111,22.31
12-2,0,001101,24.55
12-2,0,110010,26.17
12-2,0,011000,24.29
12-2,0,100000,22.46
12-2,0,001010,23.98
12-2,0,110101,25.56
12-2,0,011111,24.02
12-2,0,011011,24.01
12-2,0,110001,25.69
12-2,0,001110,24.09
12-2,0,100100,22.21
12-2,0,111000,26.51
12-2,0,010010,25.53
12-2,0,101101,22.99
12-2,0,000111,24.67
12-2,0,000011,24.68
12-2,0,101001,23.34
12-2,0,010110,25.53
12-2,0,111100,26.33
12-2,2,000001,25.27
12-2,2,101011,23.25
12-2,2,010100,25.74
12-2,2,111110,26.59
12-2,1,100011,22.4
12-2,1,001001,24.55
12-2,1,110110,25.94
12-2,1,011100,24.05
12-2,1,011000,24.01
12-2,1,110010,26.05
12-2,1,001101,24.56
12-2,1,100111,22.09
12-2,2,111010,26.92
12-2,2,010000,25.81
12-2,2,101111,22.92
12-2,2,000101,25.05
12-2,2,011001,24.31
12-2,2,110011,25.86
12-2,2,001100,24.5
12-2,2,100110,22.18
12-2,1,111011,24.85
12-2,1,010001,24.61
12-2,1,101110,22.37
12-2,1,000100,23.26
12-2,1,000000,23.26
12-2,1,101010,22.57
12-2,1,010101,24.68
12-2,1,111111,24.74
12-2,2,100010,22.33
12-2,2,001000,24.53
12-2,2,110111,25.75
12-2,2,011101,24.26
12-2,2,100101,22.84
12-2,2,001111,24.96
12-2,2,110000,26.54
12-2,2,011010,24.55
12-2,1,000111,24.24
12-2,1,101101,22.82
12-2,1,010010,25.31
12-2,1,111000,26.43
12-2,1,111100,26.43
12-2,1,010110,25.35
12-2,1,101001,23.12
12-2,1,000011,24.24
12-2,2,011110,24.56
12-2,2,110100,26.64
12-2,2,001011,24.96
12-2,2,100001,23.1
12-2,2,111101,25.64
12-2,2,010111,25.2
12-2,2,101000,23.03
12-2,2,000010,23.92
12-2,1,011111,23.62
12-2,1,110101,25.49
12-2,1,001010,23.94
12-2,1,100000,22.13
12-2,1,100100,22.09
12-2,1,001110,24.02
12-2,1,110001,25.48
12-2,1,011011,23.55
12-2,2,000110,23.97
12-2,2,101100,22.99
12-2,2,010011,25.27
