setting,div,grammar,perplexity
8-2,2,000011,26.05
8-2,2,111100,27.21
8-2,2,010110,26.69
8-2,2,010010,26.63
8-2,2,111000,27.0
8-2,2,000111,25.48
8-2,2,101101,23.95
8-2,1,110000,26.24
8-2,1,011010,22.53
8-2,1,100101,22.54
8-2,1,001111,25.35
8-2,1,010011,23.0
8-2,1,111001,26.51
8-2,1,000110,24.0
8-2,1,101100,23.19
8-2,2,110001,26.49
8-2,2,011011,22.14
8-2,2,100100,22.57
8-2,2,001110,25.31
8-2,2,001010,25.37
8-2,2,100000,22.56
8-2,2,011111,22.64
8-2,2,110101,26.48
8-2,1,101000,23.61
8-2,1,000010,24.07
8-2,1,111101,26.33
8-2,1,010111,23.29
8-2,0,001000,24.88
8-2,0,100010,22.56
8-2,0,011101,24.3
8-2,0,110111,25.86
8-2,0,110011,26.21
8-2,0,011001,24.35
8-2,0,100110,22.47
8-2,0,001100,24.87
8-2,0,010000,26.17
8-2,0,111010,25.33
8-2,0,000101,25.43
8-2,0,101111,23.57
8-2,0,101011,23.83
8-2,0,000001,25.59
8-2,0,111110,24.77
8-2,0,010100,26.1
8-2,0,101100,23.72
8-2,0,000110,23.89
8-2,0,111001,26.2
8-2,0,010011,22.89
8-2,0,010111,23.37
8-2,0,111101,26.3
8-2,0,000010,24.04
8-2,0,101000,23.99
8-2,0,110100,27.13
8-2,0,011110,23.04
8-2,0,100001,23.54
8-2,0,001011,25.4
8-2,0,001111,25.36
8-2,0,100101,22.9
8-2,0,011010,22.69
8-2,0,110000,26.96
base,0,111000,27.14
base,0,010010,25.93
base,0,101101,23.72
base,0,000111,25.2
base,0,000011,25.24
base,0,101001,24.09
base,0,010110,25.71
base,0,111100,27.04
base,0,100000,23.33
base,0,001010,24.0
base,0,110101,27.89
base,0,011111,23.86
base,0,011011,23.91
base,0,110001,26.41
base,0,001110,24.02
base,0,100100,23.22
base,0,011100,24.09
base,0,110110,26.93
base,0,001001,24.84
base,0,100011,22.97
base,0,100111,22.45
base,0,001101,25.28
base,0,110010,26.77
base,0,011000,24.14
base,0,000100,23.65
base,0,101110,24.55
base,0,010001,24.91
base,0,111011,25.69
base,0,111111,25.01
base,0,010101,24.94
base,0,101010,24.8
base,0,000000,23.46
base,2,111101,26.68
base,2,010111,25.44
base,2,101000,26.26
base,2,000010,23.65
base,1,011111,24.11
base,1,110101,25.88
base,1,001010,24.0
base,1,100000,22.29
base,1,100100,22.11
base,1,001110,23.91
base,1,110001,25.8
base,1,011011,23.85
base,2,000110,23.64
base,2,101100,26.04
base,2,010011,25.35
base,2,111001,25.9
base,2,100101,23.64
base,2,001111,24.92
base,2,110000,28.05
base,2,011010,24.59
base,1,000111,24.91
base,1,101101,22.71
base,1,010010,26.32
base,1,111000,27.19
base,1,111100,27.14
base,1,010110,26.27
base,1,101001,23.04
base,1,000011,24.92
base,2,011110,24.55
base,2,110100,27.36
base,2,001011,24.89
base,2,100001,23.34
base,2,011001,24.38
base,2,110011,26.22
base,2,001100,25.56
base,2,100110,22.31
base,1,111011,24.86
base,1,010001,24.62
base,1,101110,23.49
base,1,000100,23.73
base,1,000000,23.77
base,1,101010,23.95
base,1,010101,24.55
base,1,111111,25.12
base,2,100010,22.27
base,2,001000,25.44
base,2,110111,25.88
base,2,011101,24.22
base,2,000001,26.69
base,2,101011,23.65
base,2,010100,26.0
base,2,111110,28.22
base,1,100011,22.44
base,1,001001,24.5
base,1,110110,26.39
base,1,011100,24.03
base,1,011000,23.96
base,1,110010,26.37
base,1,001101,25.32
base,1,100111,22.23
base,2,111010,28.22
base,2,010000,26.28
base,2,101111,23.35
base,2,000101,26.11
base,2,100011,22.99
base,2,001001,24.93
base,2,110110,26.97
base,2,011100,24.48
base,1,000001,26.08
base,1,101011,23.67
base,1,010100,25.26
base,1,111110,27.79
base,1,111010,27.73
base,1,010000,25.49
base,1,101111,22.63
base,1,000101,26.05
base,2,011000,24.44
base,2,110010,26.91
base,2,001101,25.07
base,2,100111,22.6
base,2,111011,25.47
base,2,010001,25.22
base,2,101110,23.7
base,2,000100,23.86
base,1,011001,24.31
base,1,110011,25.3
base,1,001100,24.75
base,1,100110,22.04
base,1,100010,22.34
base,1,001000,25.23
base,1,110111,25.81
base,1,011101,24.28
base,2,000000,24.16
base,2,101010,24.56
base,2,010101,25.08
base,2,111111,25.37
base,2,000111,25.48
base,2,101101,23.36
base,2,010010,26.24
base,2,111000,27.93
base,1,100101,22.2
base,1,001111,24.55
base,1,110000,26.93
base,1,011010,24.05
base,1,011110,24.05
base,1,110100,26.91
base,1,001011,24.54
base,1,100001,22.76
base,2,111100,27.99
base,2,010110,26.51
base,2,101001,23.62
base,2,000011,25.75
base,2,011111,24.46
base,2,110101,26.24
base,2,001010,24.72
base,2,100000,22.59
base,1,111101,25.3
base,1,010111,24.89
base,1,101000,23.56
base,1,000010,23.1
base,1,000110,23.17
base,1,101100,23.3
base,1,010011,24.42
base,1,111001,25.61
base,2,100100,22.45
base,2,001110,25.05
base,2,110001,26.49
base,2,011011,24.38
base,0,100110,22.06
base,0,001100,25.57
base,0,110011,25.57
base,0,011001,23.99
base,0,011101,24.03
base,0,110111,24.98
base,0,001000,26.33
base,0,100010,22.24
base,0,111110,27.8
base,0,010100,25.51
base,0,101011,23.38
base,0,000001,25.89
base,0,000101,26.0
base,0,101111,23.12
base,0,010000,25.5
base,0,111010,28.69
base,0,000010,23.89
base,0,101000,23.58
base,0,010111,24.85
base,0,111101,25.62
base,0,111001,25.84
base,0,010011,24.97
base,0,101100,23.32
base,0,000110,23.39
base,0,011010,24.27
base,0,110000,27.15
base,0,001111,25.66
base,0,100101,22.38
base,0,100001,22.69
base,0,001011,25.64
base,0,110100,26.86
base,0,011110,24.26
